학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000011350,광신방송예술고등학교,고등학교,1905-10-10,사립,본교,운영,서울특별시 관악구 신림동 329,서울특별시 관악구 광신길 141,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.46577693,126.9247246,2021-03-25
B000008401,신림중학교,중학교,1972-05-13,공립,본교,운영,서울특별시 관악구 신림동 133,서울특별시 관악구 신림로 40,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.47048647,126.94489250000001,2021-03-25
B000008157,홍익대학교사범대학부속여자중학교,중학교,1968-03-12,사립,본교,운영,서울특별시 마포구 성산동 산11-31,서울특별시 마포구 성미산로 51,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.56013585,126.91367609999999,2021-03-25
B000011306,정화여자상업고등학교,고등학교,1908-09-01,사립,본교,운영,서울특별시 동대문구 제기동 293,서울특별시 동대문구 홍릉로15길 50,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.58595808,127.0407595,2021-03-25
B000002159,서울신천초등학교,초등학교,1959-05-26,공립,본교,운영,서울특별시 송파구 잠실동 27-5,서울특별시 송파구 올림픽로 215,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.51398996,127.0950476,2021-03-25
B000011943,해성여자고등학교,고등학교,2008-03-01,사립,본교,운영,서울특별시 동대문구 전농동 90-3,서울특별시 동대문구 전농로20길 31,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.58123233,127.05667209999999,2021-03-25
B000013481,경문고등학교,고등학교,1980-05-07,사립,본교,운영,서울특별시 동작구 동작동 산4-2,서울특별시 동작구 동작대로 171,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.49258942,126.9815423,2021-03-25
B000008408,광신중학교,중학교,1951-10-10,사립,본교,운영,서울특별시 관악구 신림동 산87-6,서울특별시 관악구 광신길 141,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.46514106,126.9250905,2021-03-25
B000002257,서울잠원초등학교,초등학교,1978-11-21,공립,본교,운영,서울특별시 서초구 반포동 17,서울특별시 서초구 신반포로16길 15-25,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.50154786,126.9980966,2021-03-25
B000002023,서울도봉초등학교,초등학교,1966-09-05,공립,본교,운영,서울특별시 도봉구 도봉동 429-1,서울특별시 도봉구 도봉로173길 96,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.67955707,127.0383341,2021-03-25
