행정동,lib_cnt,adm_nm,cent_lat,cent_lon,최소거리
부암동,0.0,서울특별시 종로구 부암동,37.59669865828477,126.96255674822729,1321.766538102926
평창동,0.0,서울특별시 종로구 평창동,37.613965010500344,126.96927401969059,2242.3292857129036
무악동,0.0,서울특별시 종로구 무악동,37.57774075208371,126.95898905009359,468.5714122976048
교남동,0.0,서울특별시 종로구 교남동,37.57105297867249,126.9641609771286,635.8892930226315
가회동,0.0,서울특별시 종로구 가회동,37.58267644374536,126.986618225203,370.79967286212883
종로1·2·3·4가동,0.0,서울특별시 종로구 종로1·2·3·4가동,37.57507655259656,126.9897333207583,892.64099968421
종로5·6가동,0.0,서울특별시 종로구 종로5·6가동,37.5730159965488,127.0042409849723,1803.9055840574424
이화동,0.0,서울특별시 종로구 이화동,37.57969000921074,127.00306925618808,1742.5095073172981
창신1동,0.0,서울특별시 종로구 창신1동,37.572262646946506,127.0140191169826,959.0786151974263
창신2동,0.0,서울특별시 종로구 창신2동,37.575754813686295,127.0102516615952,1303.4648741997669
창신3동,0.0,서울특별시 종로구 창신3동,37.578819173563396,127.01320882226341,1175.7992383857795
숭인1동,0.0,서울특별시 종로구 숭인1동,37.57722517676632,127.016861189532,808.4446003997892
숭인2동,0.0,서울특별시 종로구 숭인2동,37.57430674868888,127.02063762918101,374.46456260880643
청운효자동,0.0,서울특별시 종로구 청운효자동,37.584658059598844,126.9704174879603,949.0197546734521
혜화동,0.0,서울특별시 종로구 혜화동,37.58747147540308,126.997689108179,1360.7698018608698
소공동,0.0,서울특별시 중구 소공동,37.56429679244129,126.9743586325205,374.55630404650634
회현동,0.0,서울특별시 중구 회현동,37.55696815989701,126.97670860333851,594.3956694269023
필동,0.0,서울특별시 중구 필동,37.55680278676144,126.99384827768309,1178.3242784786873
장충동,0.0,서울특별시 중구 장충동,37.55560997567427,127.00227980529621,762.0508068538566
광희동,0.0,서울특별시 중구 광희동,37.56520433899328,127.00362537964581,1169.8633114839258
을지로동,0.0,서울특별시 중구 을지로동,37.566640427265156,126.99649141994179,1652.0357386912344
신당5동,0.0,서울특별시 중구 신당5동,37.563581158857815,127.0220162276454,344.35666623171284
황학동,0.0,서울특별시 중구 황학동,37.56841910821237,127.020797950026,421.1709213616116
중림동,0.0,서울특별시 중구 중림동,37.55731796360111,126.9659614349917,404.9110229523584
신당동,0.0,서울특별시 중구 신당동,37.565747517236545,127.01377477692441,638.0882767598216
청구동,0.0,서울특별시 중구 청구동,37.556855459290574,127.01498959507099,366.9492925025935
용산2가동,0.0,서울특별시 용산구 용산2가동,37.54023872953824,126.9835320945083,1340.5544419235916
남영동,0.0,서울특별시 용산구 남영동,37.54510711578613,126.9735057021698,962.1271090218069
원효로2동,0.0,서울특별시 용산구 원효로2동,37.53310437896889,126.9513933074562,1377.6760953193989
효창동,0.0,서울특별시 용산구 효창동,37.54305122250538,126.96130887733759,618.2157883771996
용문동,0.0,서울특별시 용산구 용문동,37.53814689579245,126.95858432668699,604.9857516095117
이촌1동,0.0,서울특별시 용산구 이촌1동,37.51727710009725,126.9709593794516,2284.4940396037077
이촌2동,0.0,서울특별시 용산구 이촌2동,37.523331153049604,126.9539393710467,1828.1106287228042
이태원1동,0.0,서울특별시 용산구 이태원1동,37.533394560847434,126.99324929977942,2199.4119344792416
이태원2동,0.0,서울특별시 용산구 이태원2동,37.54166032055421,126.99213416763229,1562.0617561396311
서빙고동,0.0,서울특별시 용산구 서빙고동,37.522469621421465,126.9883764736546,2406.371657544453
보광동,0.0,서울특별시 용산구 보광동,37.52587096409741,127.0012625645411,1651.1373150653794
한강로동,0.0,서울특별시 용산구 한강로동,37.529184541546634,126.9678552188454,1063.32129948457
한남동,0.0,서울특별시 용산구 한남동,37.53710166134341,127.00580097460121,1149.5504000136027
왕십리2동,0.0,서울특별시 성동구 왕십리2동,37.56149776106841,127.02769035437029,689.5179531309079
마장동,0.0,서울특별시 성동구 마장동,37.56763672609423,127.04049014573009,576.0393075612868
사근동,0.0,서울특별시 성동구 사근동,37.55801499791772,127.0454347471005,932.8056289202418
행당2동,0.0,서울특별시 성동구 행당2동,37.55667576470132,127.0295034229268,493.76343335072164
응봉동,0.0,서울특별시 성동구 응봉동,37.55098880041987,127.03398220631229,876.8695683332228
금호4가동,0.0,서울특별시 성동구 금호4가동,37.544594850334384,127.0246000488902,1064.8843756279007
성수1가2동,0.0,서울특별시 성동구 성수1가2동,37.54907374029339,127.04395214077259,499.2448422701602
성수2가1동,0.0,서울특별시 성동구 성수2가1동,37.53665520390332,127.055281443964,825.5041180831752
성수2가3동,0.0,서울특별시 성동구 성수2가3동,37.545542279986094,127.0581428699828,980.1024376769848
송정동,0.0,서울특별시 성동구 송정동,37.552333152290245,127.0656979944487,1821.8813994184916
금호2·3가동,0.0,서울특별시 성동구 금호2·3가동,37.55142835764213,127.0198921601334,534.9831457787919
화양동,0.0,서울특별시 광진구 화양동,37.54326499357664,127.0734599350961,1319.1611390616786
군자동,0.0,서울특별시 광진구 군자동,37.55306568937582,127.0736808752877,1809.6278436145858
중곡1동,0.0,서울특별시 광진구 중곡1동,37.56203730374458,127.07772224647628,764.2228055335249
중곡2동,0.0,서울특별시 광진구 중곡2동,37.55890871114233,127.08458702720431,997.4250107131546
중곡4동,0.0,서울특별시 광진구 중곡4동,37.563911819263396,127.09444805919891,1129.9028078506467
능동,0.0,서울특별시 광진구 능동,37.55065717904665,127.0816453028289,1568.9181172594501
구의1동,0.0,서울특별시 광진구 구의1동,37.54149040000061,127.0860324364705,498.4261864488454
구의2동,0.0,서울특별시 광진구 구의2동,37.551002235643594,127.09445032371971,1213.4334699187602
자양1동,0.0,서울특별시 광진구 자양1동,37.535543476585595,127.0804153706335,694.1241536142883
자양3동,0.0,서울특별시 광진구 자양3동,37.5316904016155,127.0711982874321,640.6032607198765
회기동,0.0,서울특별시 동대문구 회기동,37.59370059365983,127.05140700726001,540.8074089285236
휘경1동,0.0,서울특별시 동대문구 휘경1동,37.59187265133792,127.062474520192,391.50775344400046
제기동,0.0,서울특별시 동대문구 제기동,37.58367676273718,127.0372424220472,1078.04602217929
전농1동,0.0,서울특별시 동대문구 전농1동,37.579011594736215,127.051047967849,648.3678710182242
답십리2동,0.0,서울특별시 동대문구 답십리2동,37.57089198886264,127.061113787913,971.8664415517326
장안1동,0.0,서울특별시 동대문구 장안1동,37.56623145129293,127.0685898995323,1243.52121059241
장안2동,0.0,서울특별시 동대문구 장안2동,37.57576021840116,127.0725384601615,717.1705639311011
이문1동,0.0,서울특별시 동대문구 이문1동,37.59722176355097,127.06029274551399,950.0135782949516
이문2동,0.0,서울특별시 동대문구 이문2동,37.60283342931343,127.06749215321541,1201.9218501088903
면목2동,0.0,서울특별시 중랑구 면목2동,37.58937783217922,127.0781438303236,872.9746346294678
면목4동,0.0,서울특별시 중랑구 면목4동,37.57347747979754,127.08647480564129,725.32615201492
면목5동,0.0,서울특별시 중랑구 면목5동,37.58297243731307,127.07966564155609,846.3378233759131
면목7동,0.0,서울특별시 중랑구 면목7동,37.57729479589046,127.092691167975,1186.4612196766047
상봉1동,0.0,서울특별시 중랑구 상봉1동,37.6020253559775,127.0894684168792,1392.2234444409735
상봉2동,0.0,서울특별시 중랑구 상봉2동,37.59424490804898,127.0838976771445,851.4352673505051
중화1동,0.0,서울특별시 중랑구 중화1동,37.602287315150654,127.08314920575121,1467.9236350231185
중화2동,0.0,서울특별시 중랑구 중화2동,37.59872325493066,127.07520818914499,1687.5002182571163
묵2동,0.0,서울특별시 중랑구 묵2동,37.61037217557865,127.0746656568435,883.2846852168744
망우3동,0.0,서울특별시 중랑구 망우3동,37.591807695925326,127.10293946606708,1203.8957215100525
신내1동,0.0,서울특별시 중랑구 신내1동,37.61280174716191,127.1045066823183,839.5839706673304
신내2동,0.0,서울특별시 중랑구 신내2동,37.61095053508644,127.0916163194708,627.3435971570391
면목3·8동,0.0,서울특별시 중랑구 면목3·8동,37.58459651615551,127.0973812796008,903.9412179765164
돈암1동,0.0,서울특별시 성북구 돈암1동,37.59932703660618,127.0240415739346,501.29542765588207
안암동,0.0,서울특별시 성북구 안암동,37.58725170812378,127.0273090155397,1478.6134542431257
보문동,0.0,서울특별시 성북구 보문동,37.58260325834278,127.019218896561,1119.2405220682679
정릉1동,0.0,서울특별시 성북구 정릉1동,37.603261672124006,127.0166527987149,442.1391532970927
정릉3동,0.0,서울특별시 성북구 정릉3동,37.612263028412926,126.9937649742649,1497.2061881680172
월곡1동,0.0,서울특별시 성북구 월곡1동,37.60787813443581,127.036447944391,560.0869101581872
장위2동,0.0,서울특별시 성북구 장위2동,37.61222375381708,127.05172669327258,659.4506265584058
장위3동,0.0,서울특별시 성북구 장위3동,37.618177891183365,127.05349443513441,702.3174912303729
성북동,0.0,서울특별시 성북구 성북동,37.59586827856371,126.99615007923408,1287.6105255136445
삼선동,0.0,서울특별시 성북구 삼선동,37.58661879616185,127.011795634271,846.9686855457047
동선동,0.0,서울특별시 성북구 동선동,37.593735434791704,127.0184260645283,690.5682490215048
번1동,0.0,서울특별시 강북구 번1동,37.6376259673513,127.03054500159229,1226.0756254987532
번3동,0.0,서울특별시 강북구 번3동,37.62378240630237,127.0423358994651,563.0579774539694
수유2동,0.0,서울특별시 강북구 수유2동,37.64540181516461,127.01950374746549,526.5566817396052
수유3동,0.0,서울특별시 강북구 수유3동,37.64045507897664,127.0235462598271,973.8861381907772
우이동,0.0,서울특별시 강북구 우이동,37.660352732130605,127.00032299117909,1393.0750631103601
인수동,0.0,서울특별시 강북구 인수동,37.63764064832851,127.003962973777,1466.1241650750185
쌍문2동,0.0,서울특별시 도봉구 쌍문2동,37.657062041379206,127.0370018509035,983.9133622465869
