lib_name,date,행정동,ylabel
강남구립도곡정보문화도서관,201910,도곡1동,179159.0
강남구립도곡정보문화도서관,201911,도곡1동,31103.0
강남구립도곡정보문화도서관,201912,도곡1동,27913.0
강남구립도곡정보문화도서관,202001,도곡1동,27285.0
강남구립도곡정보문화도서관,202002,도곡1동,5143.0
강남구립도곡정보문화도서관,202003,도곡1동,2007.0
강남구립도곡정보문화도서관,202004,도곡1동,10629.0
강남구립도곡정보문화도서관,202005,도곡1동,14902.0
강남구립도곡정보문화도서관,202006,도곡1동,6229.0
강남구립도곡정보문화도서관,202007,도곡1동,25083.0
강남구립도곡정보문화도서관,202008,도곡1동,9984.0
강남구립도곡정보문화도서관,202009,도곡1동,4809.0
강남구립도곡정보문화도서관,202010,도곡1동,24255.0
강남구립도곡정보문화도서관,202011,도곡1동,25600.0
강남구립도곡정보문화도서관,202012,도곡1동,7847.0
강남구립도곡정보문화도서관,202101,도곡1동,2155.0
강남구립도곡정보문화도서관,202102,도곡1동,0.0
강남구립도곡정보문화도서관,202103,도곡1동,0.0
강남구립도곡정보문화도서관,202104,도곡1동,0.0
강남구립도곡정보문화도서관,202105,도곡1동,98555.0
강남구립도곡정보문화도서관,202106,도곡1동,20839.0
강남구립도곡정보문화도서관,202107,도곡1동,29327.0
강남구립못골도서관,201902,세곡동,15384.0
강남구립못골도서관,201903,세곡동,17445.0
강남구립못골도서관,201904,세곡동,17644.0
강남구립못골도서관,201905,세곡동,13278.0
강남구립못골도서관,201906,세곡동,17800.0
강남구립못골도서관,201907,세곡동,0.0
강남구립못골도서관,201908,세곡동,0.0
강남구립못골도서관,201909,세곡동,6546.0
강남구립못골도서관,201910,세곡동,78334.0
강남구립못골도서관,201911,세곡동,19009.0
강남구립못골도서관,201912,세곡동,17279.0
강남구립못골도서관,202001,세곡동,17682.0
강남구립못골도서관,202002,세곡동,2813.0
강남구립못골도서관,202003,세곡동,1561.0
강남구립못골도서관,202004,세곡동,8328.0
강남구립못골도서관,202005,세곡동,8852.0
강남구립못골도서관,202006,세곡동,4380.0
강남구립못골도서관,202007,세곡동,13407.0
강남구립못골도서관,202008,세곡동,5335.0
강남구립못골도서관,202009,세곡동,4821.0
강남구립못골도서관,202010,세곡동,13317.0
강남구립못골도서관,202011,세곡동,15255.0
강남구립못골도서관,202012,세곡동,5565.0
강남구립못골도서관,202101,세곡동,2551.0
강남구립못골도서관,202102,세곡동,0.0
강남구립못골도서관,202103,세곡동,0.0
강남구립못골도서관,202104,세곡동,0.0
강남구립못골도서관,202105,세곡동,63386.0
강남구립못골도서관,202106,세곡동,13095.0
강남구립못골도서관,202107,세곡동,19018.0
강남구립못골한옥어린이도서관,201902,세곡동,6135.0
강남구립못골한옥어린이도서관,201903,세곡동,8286.0
강남구립못골한옥어린이도서관,201904,세곡동,7832.0
강남구립못골한옥어린이도서관,201905,세곡동,5912.0
강남구립못골한옥어린이도서관,201906,세곡동,8369.0
강남구립못골한옥어린이도서관,201907,세곡동,0.0
강남구립못골한옥어린이도서관,201908,세곡동,0.0
강남구립못골한옥어린이도서관,201909,세곡동,1787.0
강남구립못골한옥어린이도서관,201910,세곡동,19214.0
강남구립못골한옥어린이도서관,201911,세곡동,7568.0
강남구립못골한옥어린이도서관,201912,세곡동,6843.0
강남구립못골한옥어린이도서관,202001,세곡동,5712.0
강남구립못골한옥어린이도서관,202002,세곡동,1048.0
강남구립못골한옥어린이도서관,202003,세곡동,961.0
강남구립못골한옥어린이도서관,202004,세곡동,4011.0
강남구립못골한옥어린이도서관,202005,세곡동,4623.0
강남구립못골한옥어린이도서관,202006,세곡동,2373.0
강남구립못골한옥어린이도서관,202007,세곡동,7719.0
강남구립못골한옥어린이도서관,202008,세곡동,2982.0
강남구립못골한옥어린이도서관,202009,세곡동,3788.0
강남구립못골한옥어린이도서관,202010,세곡동,8052.0
강남구립못골한옥어린이도서관,202011,세곡동,7696.0
강남구립못골한옥어린이도서관,202012,세곡동,3016.0
강남구립못골한옥어린이도서관,202101,세곡동,1464.0
강남구립못골한옥어린이도서관,202102,세곡동,0.0
강남구립못골한옥어린이도서관,202103,세곡동,0.0
강남구립못골한옥어린이도서관,202104,세곡동,0.0
강남구립못골한옥어린이도서관,202105,세곡동,36277.0
강남구립못골한옥어린이도서관,202106,세곡동,7533.0
강남구립못골한옥어린이도서관,202107,세곡동,9965.0
강남구립역삼도서관,201902,역삼1동,3928.0
강남구립역삼도서관,201903,역삼1동,4333.0
강남구립역삼도서관,201904,역삼1동,4438.0
강남구립역삼도서관,201905,역삼1동,3480.0
강남구립역삼도서관,201906,역삼1동,3926.0
강남구립역삼도서관,201907,역삼1동,0.0
강남구립역삼도서관,201908,역삼1동,0.0
강남구립역삼도서관,201909,역삼1동,1632.0
강남구립역삼도서관,201910,역삼1동,148361.0
